size,1,2,4,8,10,16,20,30
1000000,Данные: 100000000
Длительность: 1,.650630,Данные: 100000000
Длительность: 6,932669,Данные: 100000000
Длительность: 3,733959,Данные: 100000000
Длительность: 1,887402,Данные: 100000000
Длительность: 1,513074,Данные: 100000000
Длительность: 1,128311,Данные: 100000000
Длительность: 0,778398,Данные: 100000000
Длительность: 0,574934
10000000,Данные: 100000000
Длительность: 1,.893808,Данные: 100000000
Длительность: 6,961539,Данные: 100000000
Длительность: 3,735232,Данные: 100000000
Длительность: 1,885926,Данные: 100000000
Длительность: 1,802297,Данные: 100000000
Длительность: 1,121939,Данные: 100000000
Длительность: 0,756808,Данные: 100000000
Длительность: 0,568708
